company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Tandem Computers Inc.,19250 PRUNERIDGE AVE.,-122.009469,37.331911,"-122.009469, 37.331911","37.331911, -122.009469",95014,Cupertino,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Tandem Computers Inc.,2450 WALSH AVE.,-121.971037,37.37008,"-121.971037, 37.37008","37.37008, -121.971037",95051,Santa Clara,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Tandon Corp,,,,", ",", ",,,California,,,manufacturing,,,,,
Western Microtech Inc.,,,,", ",", ",,,California,,,manufacturing,,,,,
Wyse Technology,,,,", ",", ",,,California,,,manufacturing,,,,,
Xicor,,,,", ",", ",,,California,,,manufacturing,,,,,
Abbott Labs,"1212 Terra Bella Ave, Mountain View, CA",-122.07898,37.408556,"-122.07898, 37.408556","37.408556, -122.07898",94043,Mountain View,California,,,medicine,Rich's Complete Guide to Silicon Valley,,,,
ACCUTEST,"2680 N. 1st St., San Jose, CA",-121.929417,37.388396,"-121.929417, 37.388396","37.388396, -121.929417",95131,San Jose,California,,,non-industrial,Rich's Complete Guide to Silicon Valley,,,,
ADP Automatic Data Processing,"4250 Williams Road, San Jose, CA",-121.9785401,37.30813493,"-121.978540090685, 37.3081349253969","37.3081349253969, -121.978540090685",,San Jose,California,,,non-industrial,1971 San Jose City Directory,,,,
Ponisteff Office Building,"SW Corner Hanover & California Avenue, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Wells Fargo Bank American Trust Co,"505 California Avenue, Palo Alto, CA",-122.1457814,37.4246779,"-122.145781390956, 37.4246779","37.4246779, -122.145781390956",,Palo Alto,California,,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Advanced Microwave Laboratories,"611 Vaqueros Street, Sunnyvale, CA",,,", ",", ",,Sunnyvale,California,,,research and development,1968 Sunnyvale City Directory,,,,
Advanced Technology Laboratories,"1108 W. Evelyn Ave, Sunnyvale, CA",-122.0497788,37.38480696,"-122.049778796584, 37.3848069592943","37.3848069592943, -122.049778796584",,Sunnyvale,California,,,research and development,1964 Sunnyvale City Directory,,,,
Aerotherm Corp,"460 California Ave, Palo Alto, CA",-122.1455626,37.42580545,"-122.145562572278, 37.42580545","37.42580545, -122.145562572278",,Palo Alto,California,,,research and development,,,,,
Aerotherm Corp (Experimental Servs Div),"1450 Page Mill Rd, Palo Alto, CA",-122.1494558,37.4164965,"-122.149455848229, 37.4164965","37.4164965, -122.149455848229",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
American Institute of Research,"1791 Arastradero Rd, Palo Alto, CA",-122.1268319,37.4053519,"-122.1268319, 37.4053519","37.4053519, -122.1268319",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Applied Technology Inc,"3410 Hillview Ave, Palo Alto, CA",-122.1465282,37.39880545,"-122.146528202991, 37.39880545","37.39880545, -122.146528202991",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Arequipa Foundation,"2492 Pulgas Ave, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Arrow Development Co,"936 Commercial, Palo Alto, CA",-122.0997039,37.423457,"-122.099703912146, 37.423457","37.423457, -122.099703912146",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Business Research & Development,"361 Lytton Ave, Palo Alto, CA",-122.1623593,37.44761466,"-122.162359318835, 37.4476146605332","37.4476146605332, -122.162359318835",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Decision Studies Group,"460 California Ave, Palo Alto, CA",-122.1455626,37.42580545,"-122.145562572278, 37.42580545","37.42580545, -122.145562572278",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Develco Inc,"440 Pepper Ave, Palo Alto, CA",-122.1405023,37.4235285,"-122.140502277174, 37.4235285","37.4235285, -122.140502277174",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Educational Development Corp,"200 California Ave, Palo Alto, CA",-122.1434253,37.4285563,"-122.143425260803, 37.4285563","37.4285563, -122.143425260803",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
ESL Inc,"3950 Fabian Way, Palo Alto, CA",-122.1046444,37.423637,"-122.1046444, 37.423637","37.423637, -122.1046444",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Fairchild Semiconductor Corp (electronics),"844 E. Charleston Rd, Palo Alto, CA",-122.1033371,37.4216025,"-122.103337087694, 37.4216025","37.4216025, -122.103337087694",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Fairchild Semiconductor Research Laboratory,"4001 Junipero Serra Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Freeman WH & Co,"2415 Embarcadero Way, Palo Alto, CA",-122.1128461,37.45252345,"-122.112846073835, 37.45252345","37.45252345, -122.112846073835",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
HP Associates ,"620 Page Mill Road, Palo Alto, CA",-122.1453646,37.4221802,"-122.1453646, 37.4221802","37.4221802, -122.1453646",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Intercontinental Research Beacon Co,"415 Cambridge Ave, Palo Alto, CA",-122.145647,37.4266003,"-122.145647008039, 37.4266003","37.4266003, -122.145647008039",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Itek Corp,"1450 Page Mill Rd, Palo Alto, CA",-122.1494558,37.4164965,"-122.149455848229, 37.4164965","37.4164965, -122.149455848229",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Litton Industries Inc (Atherton Div),"974 Commercial St, Palo Alto, CA",-122.0996485,37.424214,"-122.0996485, 37.424214","37.424214, -122.0996485",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Metronics Associates,"3201 Porter Dr, Palo Alto, CA",-122.1487731,37.4078074,"-122.1487731, 37.4078074","37.4078074, -122.1487731",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
National Research & Appraisal Co,"3980 Fabian Way, Palo Alto, CA",-122.1047025,37.422801,"-122.1047025, 37.422801","37.422801, -122.1047025",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Paeco Division of Hewlett-Packard Co,"620 Page Mill Road, Palo Alto, CA",-122.1453646,37.4221802,"-122.1453646, 37.4221802","37.4221802, -122.1453646",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Palo Alto Medical Research Foundation,"860 Bryant St, Palo Alto, CA",-122.1571702,37.44299338,"-122.157170225002, 37.442993378729","37.442993378729, -122.157170225002",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
Polaroid Corp (Research Laby),"470 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,research and development,"Palo Alto Directory, 1967",,,,
ACTIVISION,240 MILPITAS BLVD.,-121.897037,37.429291,"-121.897037, 37.429291","37.429291, -121.897037",95035,Milpitas,California,,,software,Rich's Complete Guide to Silicon Valley,,,,
Ashton-Tate,,,,", ",", ",,,California,,,software,,,,,
Autodesk,,,,", ",", ",,,California,,,software,,,,,
Boole and Babbage,,,,", ",", ",,,California,,,software,,,,,
Borland International,,,,", ",", ",,,California,,,software,,,,,
Broderbund Software,,,,", ",", ",,,California,,,software,,,,,
Informix,,,,", ",", ",,,California,,,software,,,,,
MacNeal-Schwendler,,,,", ",", ",,,California,,,software,,,,,
Micro D Inc,,,,", ",", ",,,California,,,software,,,,,
Micropro International Corp,,,,", ",", ",,,California,,,software,,,,,
Microsoft,,,,", ",", ",,,Washington,,,software,,,,,
Software Publishing,,,,", ",", ",,,California,,,software,,,,,
Telos Corp,,,,", ",", ",,,California,,,software,,,,,
Advanced Solutions,"100 N. Winchester Blvd, San Jose, CA",-121.9503018,37.32722769,"-121.950301846154, 37.3272276923077","37.3272276923077, -121.950301846154",,San Jose,California,,,,1976 San Jose City Directory,,,Company type unclear.,
Advanced Thermo Enterprise,"427 Perrymount Ave, San Jose, CA",,,", ",", ",,San Jose,California,,,,1971 San Jose City Directory,,,Company type unclear.,
All Cities Electronic,"1415 The Alameda, San Jose, CA",-121.9142723,37.33332433,"-121.914272291667, 37.3333243333333","37.3333243333333, -121.914272291667",,San Jose,California,,,,1962 San Jose City Directory,,,Company type unclear.,
Allen Electronic Corp,"937 Industrial, Palo Alo, CA",,,", ",", ",,Palo Alto,California,,,,,,,Company type unclear.,
Alpha Beta Associates,"888 N. 1st St, San Jose, CA",-121.9031396,37.35310513,"-121.903139625211, 37.3531051268432","37.3531051268432, -121.903139625211",,San Jose,California,,,,1971 San Jose City Directory,,,Company type unclear.,
APPLICON INC.,2540 MISSION COLLEGE BLV.,-121.935679,37.34357,"-121.935679, 37.34357","37.34357, -121.935679",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,Company type unclear.,
Approved Electronics,"664 Blossom Hill Road, San Jose, CA",-121.8435606,37.25051753,"-121.843560589618, 37.2505175258195","37.2505175258195, -121.843560589618",,San Jose,California,,,,1970 San Jose City Directory,,,Company type unclear.,
APR Systems Inc,"1550 The Alameda, San Jose, CA",-121.9161201,37.3350918,"-121.916120054466, 37.3350918037194","37.3350918037194, -121.916120054466",,San Jose,California,,,,1977 San Jose City Directory,,,Company type unclear.,
Arnoux Corp,"945 Daffodil Way, San Jose, CA",-121.9712495,37.30956154,"-121.971249519202, 37.3095615431304","37.3095615431304, -121.971249519202",,San Jose,California,,,,1962 San Jose City Directory,,,Company type unclear.,
Associated Electronic Service,"420 S. Bascom Ave, San Jose, CA",-121.931778,37.321499,"-121.931778, 37.321499","37.321499, -121.931778",,San Jose,California,,,,1963 San Jose City Directory,,,Company type unclear.,
Astronautics International,"227 N. Montgomery Street, San Jose, CA",-121.9029721,37.33487578,"-121.902972126206, 37.3348757756555","37.3348757756555, -121.902972126206",,San Jose,California,,,,1969 San Jose City Directory,,,Company type unclear.,
Automated Business Systems,"1385 W. San Carlos Street, San Jose, CA",-121.9133458,37.32357036,"-121.913345837803, 37.323570363825","37.323570363825, -121.913345837803",,San Jose,California,,,,1969 San Jose City Directory,,,Company type unclear.,
BENSON INC.,2694 ORCHARD PKWY.,-121.93286,37.386173,"-121.93286, 37.386173","37.386173, -121.93286",95134,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,Company type unclear.,
Bidata Services,"15660 Alum Rock Ave, San Jose, CA",-121.8608559,37.3503812,"-121.8608559, 37.3503812","37.3503812, -121.8608559",,San Jose,California,,,,1976 San Jose City Directory,,,Company type unclear.,
Binex Automated Business Systems,"1365 W. San Carlos St, San Jose, CA",-121.9129942,37.32356838,"-121.912994168946, 37.3235683834458","37.3235683834458, -121.912994168946",,San Jose,California,,,,1973 San Jose City Directory,,,Company type unclear.,
Bonanza Industries,"1625 Almaden Road, San Jose, CA",-121.8787027,37.30715982,"-121.878702675496, 37.3071598212073","37.3071598212073, -121.878702675496",,San Jose,California,,,,1971 San Jose City Directory,,,Company type unclear.,
Bowes Computer Products,"100 Park Center Plaza, San Jose, CA",,,", ",", ",,San Jose,California,,,,1976 San Jose City Directory,,,Company type unclear.,
Brand William Electronic Components Inc,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,California,,,,,,,Company type unclear.,
Brooks Development Co,"183 Commercial, Sunnyvale, CA",-122.007783,37.379032,"-122.007783, 37.379032","37.379032, -122.007783",,Sunnyvale,California,,,,1964 Sunnyvale City Directory,,,Company type unclear.,
Brooks Optroics,"183 Commercial Street, Sunnyvale, CA",-122.007783,37.379032,"-122.007783, 37.379032","37.379032, -122.007783",,Sunnyvale,California,,,,1966 Sunnyvale City Directory,,,Company type unclear.,
Buckles Smith Co,"240 Spencer Ave, San Jose, CA",-121.8895918,37.3101405,"-121.8895918, 37.3101405","37.3101405, -121.8895918",,San Jose,California,,,,1960 San Jose City Directory,,,,
C & L Terminals,"1450 Koll Circle, San Jose, CA",-121.9081092,37.365887,"-121.908109181818, 37.365887","37.365887, -121.908109181818",,San Jose,California,,,,1979 San Jose City Directory,,,,
Caelus Memories ,"25 N. 14th Street, San Jose, CA",-121.8775767,37.34289071,"-121.877576695318, 37.3428907135952","37.3428907135952, -121.877576695318",,San Jose,California,,,,1969 San Jose City Directory,,,,
CAELUS MEMORIES INC.,1015 TIMOTHY DR.,-121.880721,37.363902,"-121.880721, 37.363902","37.363902, -121.880721",95133,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Cal Sonics,"3667 Mona Way, San Jose, CA",-121.964721,37.2961348,"-121.964721040816, 37.2961347959184","37.2961347959184, -121.964721040816",,San Jose,California,,,,1970 San Jose City Directory,,,,
Cal-Mac (bankrupt),"175 Weeks St, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Cal-Tronics,"2366 Warburton, Santa Clara, CA",-121.9672946,37.35568766,"-121.967294574859, 37.3556876564623","37.3556876564623, -121.967294574859",,Santa Clara,California,,,,1964 San Jose City Directory,,,,
CALIF. MICROWAVE INC.,760 N. MARY AVE.,-122.035797,37.396597,"-122.035797, 37.396597","37.396597, -122.035797",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
California Business Computer Corp,"825 W. Hamilton Ave, San Jose, CA",-121.9820188,37.2936431,"-121.9820188, 37.2936431","37.2936431, -121.9820188",,San Jose,California,,,,1979 San Jose City Directory,,,,
CALMA COMPANY,527 LAKESIDE DR.,-121.993367,37.385005,"-121.993367, 37.385005","37.385005, -121.993367",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Calma Company,225 Humboldt Ct.,-122.01828,37.408155,"-122.01828, 37.408155","37.408155, -122.01828",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Calma Company,213 Gibraltar,-122.018021,37.41013,"-122.018021, 37.41013","37.41013, -122.018021",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Cambridge Filter Corp,"1425 Foxworthy Ave, San Jose, CA",-121.8919979,37.27496801,"-121.891997853943, 37.2749680054122","37.2749680054122, -121.891997853943",,San Jose,California,,,,1977 San Jose City Directory,,,,
CANDELA ELECTRONICS,550 DEL REY,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Carad Corporation,"3381 Junipero Serra Blvd., Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Caswell Electronics,"434 Queens Lane, San Jose, CA",-121.9043664,37.36870772,"-121.904366413741, 37.3687077156014","37.3687077156014, -121.904366413741",,San Jose,California,,,,1962 San Jose City Directory,,,,
CDI CORP.,50 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CDI CORP.,50 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Central Engineering Laboratories,"1185 Coleman Ave, Santa Clara, CA",-121.9305479,37.35559915,"-121.930547868027, 37.355599153677","37.355599153677, -121.930547868027",,Santa Clara,California,,,,1965 San Jose City Directory,,,,
Central Scientific Co,"4300 Stevens Creek Blvd, San Jose, CA",-121.9423322,37.3232601,"-121.9423322, 37.3232601","37.3232601, -121.9423322",,San Jose,California,,,,1977 San Jose City Directory,,,,
Chamberlain Laboratories,"73 George, San Jose, CA",-121.9002047,37.34748204,"-121.900204716166, 37.3474820357408","37.3474820357408, -121.900204716166",,San Jose,California,,,,1965 San Jose City Directory,,,,
CHEMICAL SYS.,1050 E. ARQUES AVE.,-122.000417,37.380482,"-122.000417, 37.380482","37.380482, -122.000417",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Circo Inc.,"940 Hamlin Ct, Sunnyvale, CA",-122.0297541,37.40060497,"-122.029754050461, 37.4006049732311","37.4006049732311, -122.029754050461",,Sunnyvale,California,,,,,,,,
Clark Electronics,"190 W. Santa Clara, San Jose, CA",,,", ",", ",,San Jose,California,,,,1962 San Jose City Directory,,,,
"Clark, Stromquist, Potter & Ehrlich","3200 Hanover Street, Palo Alto, CA",-122.1458447,37.414551,"-122.14584472372, 37.414551","37.414551, -122.14584472372",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Co-Data,"4950 Hamilton Ave, San Jose, CA",-121.9086846,37.2938307,"-121.9086846, 37.2938307","37.2938307, -121.9086846",,San Jose,California,,,,1970 San Jose City Directory,,,,
Coherent Inc.,3270 W. Bayshore Road,-122.112178,37.438142,"-122.112178, 37.438142","37.438142, -122.112178",94303,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
